store_name,store_address,store_address_fix1,store_address_fix2,store_address_final,address2
역삼아레나빌딩  ,서울특별시 강남구 언주로 425 (역삼동)02-568-3762,서울특별시 강남구 언주로 425 ,서울특별시 강남구 언주로 425 ,서울특별시 강남구 언주로 425 ,서울특별시강남구언주로425
논현역사거리  ,서울특별시 강남구 강남대로 538 (논현동)02-3442-3672,서울특별시 강남구 강남대로 538 ,서울특별시 강남구 강남대로 538 ,서울특별시 강남구 강남대로 538 ,서울특별시강남구강남대로538
국기원사거리  ,서울특별시 강남구 테헤란로 125 (역삼동)02-568-3668,서울특별시 강남구 테헤란로 125 ,서울특별시 강남구 테헤란로 125 ,서울특별시 강남구 테헤란로 125 ,서울특별시강남구테헤란로125
대치대원빌딩R  ,서울특별시 강남구 남부순환로 2947 (대치동)02-568-3704,서울특별시 강남구 남부순환로 2947 ,서울특별시 강남구 남부순환로 2947 ,서울특별시 강남구 남부순환로 2947 ,서울특별시강남구남부순환로2947
삼성역섬유센터R  ,서울특별시 강남구 테헤란로 518 (대치동)02-568-3648,서울특별시 강남구 테헤란로 518 ,서울특별시 강남구 테헤란로 518 ,서울특별시 강남구 테헤란로 518 ,서울특별시강남구테헤란로518
압구정R  ,서울특별시 강남구 언주로 861 (신사동)02-541-3622,서울특별시 강남구 언주로 861 ,서울특별시 강남구 언주로 861 ,서울특별시 강남구 언주로 861 ,서울특별시강남구언주로861
수서역R  ,서울특별시 강남구 광평로 281 (수서동)02-6181-3688,서울특별시 강남구 광평로 281 ,서울특별시 강남구 광평로 281 ,서울특별시 강남구 광평로 281 ,서울특별시강남구광평로281
양재강남빌딩R  ,서울특별시 강남구 남부순환로 2621 (도곡동)02-571-3604,서울특별시 강남구 남부순환로 2621 ,서울특별시 강남구 남부순환로 2621 ,서울특별시 강남구 남부순환로 2621 ,서울특별시강남구남부순환로2621
선릉동신빌딩R  ,서울특별시 강남구 테헤란로 409 (삼성동)02-2051-3562,서울특별시 강남구 테헤란로 409 ,서울특별시 강남구 테헤란로 409 ,서울특별시 강남구 테헤란로 409 ,서울특별시강남구테헤란로409
봉은사로선정릉  ,서울특별시 강남구 봉은사로 446 (삼성동)02-539-3564,서울특별시 강남구 봉은사로 446 ,서울특별시 강남구 봉은사로 446 ,서울특별시 강남구 봉은사로 446 ,서울특별시강남구봉은사로446
강남오거리  ,서울특별시 강남구 봉은사로2길 39 (역삼동)02-557-3484,서울특별시 강남구 봉은사로2길 39 ,서울특별시 강남구 봉은사로2길 39 ,서울특별시 강남구 봉은사로2길 39 ,서울특별시강남구봉은사로2길39
스타필드코엑스몰R  ,서울특별시 강남구 영동대로 513 (삼성동)02-6002-3467,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시강남구영동대로513
강남구청정문  ,서울특별시 강남구 학동로 419 (청담동)02-514-3397,서울특별시 강남구 학동로 419 ,서울특별시 강남구 학동로 419 ,서울특별시 강남구 학동로 419 ,서울특별시강남구학동로419
도곡공원  ,서울특별시 강남구 도곡로 205 (역삼동)02-565-3496,서울특별시 강남구 도곡로 205 ,서울특별시 강남구 도곡로 205 ,서울특별시 강남구 도곡로 205 ,서울특별시강남구도곡로205
강남R  ,서울특별시 강남구 강남대로 390 (역삼동)02-561-3478,서울특별시 강남구 강남대로 390 ,서울특별시 강남구 강남대로 390 ,서울특별시 강남구 강남대로 390 ,서울특별시강남구강남대로390
대치은마사거리  ,서울특별시 강남구 도곡로 457 (대치동)02-554-3315,서울특별시 강남구 도곡로 457 ,서울특별시 강남구 도곡로 457 ,서울특별시 강남구 도곡로 457 ,서울특별시강남구도곡로457
청담영동대로  ,서울특별시 강남구 영동대로 720 (청담동)02-3443-3371,서울특별시 강남구 영동대로 720 ,서울특별시 강남구 영동대로 720 ,서울특별시 강남구 영동대로 720 ,서울특별시강남구영동대로720
압구정  ,서울특별시 강남구 압구정로30길 17 (신사동)02-541-3306,서울특별시 강남구 압구정로30길 17 ,서울특별시 강남구 압구정로30길 17 ,서울특별시 강남구 압구정로30길 17 ,서울특별시강남구압구정로30길17
신사가로수  ,서울특별시 강남구 압구정로12길 32 (신사동)02-3446-3356,서울특별시 강남구 압구정로12길 32 ,서울특별시 강남구 압구정로12길 32 ,서울특별시 강남구 압구정로12길 32 ,서울특별시강남구압구정로12길32
청담스타R  ,서울특별시 강남구 도산대로57길 24 (청담동)02-514-3364,서울특별시 강남구 도산대로57길 24 ,서울특별시 강남구 도산대로57길 24 ,서울특별시 강남구 도산대로57길 24 ,서울특별시강남구도산대로57길24
강남우성  ,서울특별시 강남구 강남대로 328 (역삼동)02-565-3347,서울특별시 강남구 강남대로 328 ,서울특별시 강남구 강남대로 328 ,서울특별시 강남구 강남대로 328 ,서울특별시강남구강남대로328
학동사거리  ,서울특별시 강남구 도산대로 328 (논현동) HS빌딩02-758-8971,서울특별시 강남구 도산대로 328 ,서울특별시 강남구 도산대로 328 ,서울특별시 강남구 도산대로 328 ,서울특별시강남구도산대로328
대치사거리  ,서울특별시 강남구 삼성로 402 (대치동)02-561-3287,서울특별시 강남구 삼성로 402 ,서울특별시 강남구 삼성로 402 ,서울특별시 강남구 삼성로 402 ,서울특별시강남구삼성로402
포스코사거리  ,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩02-554-3235,서울특별시 강남구 테헤란로 505 ,서울특별시 강남구 테헤란로 505 ,서울특별시 강남구 테헤란로 505 ,서울특별시강남구테헤란로505
을지병원사거리  ,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)02-758-8896",서울특별시 강남구 논현로 752 ,서울특별시 강남구 논현로 752 ,서울특별시 강남구 논현로 752 ,서울특별시강남구논현로752
신사역  ,서울특별시 강남구 도산대로 108 (논현동) 렉스타워02-758-8848,서울특별시 강남구 도산대로 108 ,서울특별시 강남구 도산대로 108 ,서울특별시 강남구 도산대로 108 ,서울특별시강남구도산대로108
도곡역  ,서울특별시 강남구 남부순환로 2909 (대치동)02-758-8809,서울특별시 강남구 남부순환로 2909 ,서울특별시 강남구 남부순환로 2909 ,서울특별시 강남구 남부순환로 2909 ,서울특별시강남구남부순환로2909
서울세관사거리  ,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회02-758-8798,서울특별시 강남구 언주로 650 ,서울특별시 강남구 언주로 650 ,서울특별시 강남구 언주로 650 ,서울특별시강남구언주로650
청담사거리  ,서울특별시 강남구 도산대로 458 (청담동) 리츠타워02-758-8726,서울특별시 강남구 도산대로 458 ,서울특별시 강남구 도산대로 458 ,서울특별시 강남구 도산대로 458 ,서울특별시강남구도산대로458
한티역  ,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)02-758-8683","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 ","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 ","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 ","서울특별시강남구도곡로408,디마크빌딩101호"
역삼초교사거리  ,서울특별시 강남구 역삼로 123 (역삼동)02-758-8739,서울특별시 강남구 역삼로 123 ,서울특별시 강남구 역삼로 123 ,서울특별시 강남구 역삼로 123 ,서울특별시강남구역삼로123
코엑스몰  ,서울특별시 강남구 영동대로 513 (삼성동) 코엑스02-758-8733,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시강남구영동대로513
가로수길  ,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)02-758-8661","서울특별시 강남구 논현로175길 94, 1~2층 ","서울특별시 강남구 논현로175길 94, 1~2층 ","서울특별시 강남구 논현로175길 94, 1~2층 ","서울특별시강남구논현로175길94,1~2층"
역삼대로  ,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)02-758-8626","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 ","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 ","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 ","서울특별시강남구테헤란로211,한국고등교육재단빌딩1층"
역삼포스코  ,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)02-758-8631","서울특별시 강남구 테헤란로 134, P&S TOWER ","서울특별시 강남구 테헤란로 134, P&S TOWER ","서울특별시 강남구 테헤란로 134, P&S TOWER ","서울특별시강남구테헤란로134,P&STOWER"
강남대로  ,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)02-758-8624","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 ","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 ","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 ","서울특별시강남구강남대로456,한석타워2층1-2호"
청담  ,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)02-758-8659","서울특별시 강남구 도산대로 532, 인희빌딩 1층 ","서울특별시 강남구 도산대로 532, 인희빌딩 1층 ","서울특별시 강남구 도산대로 532, 인희빌딩 1층 ","서울특별시강남구도산대로532,인희빌딩1층"
삼성도심공항  ,서울특별시 강남구 테헤란로87길 33 (삼성동)02-758-8635,서울특별시 강남구 테헤란로87길 33 ,서울특별시 강남구 테헤란로87길 33 ,서울특별시 강남구 테헤란로87길 33 ,서울특별시강남구테헤란로87길33
삼성교  ,"서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)02-758-8592","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 ","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 ","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 ","서울특별시강남구영동대로86길12,,9,10번지동남유화빌딩"
학동역  ,서울특별시 강남구 논현로 704 (논현동)02-758-8101,서울특별시 강남구 논현로 704 ,서울특별시 강남구 논현로 704 ,서울특별시 강남구 논현로 704 ,서울특별시강남구논현로704
대치  ,서울특별시 강남구 도곡로 511 (대치동)02-758-8063,서울특별시 강남구 도곡로 511 ,서울특별시 강남구 도곡로 511 ,서울특별시 강남구 도곡로 511 ,서울특별시강남구도곡로511
기술센터  ,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)02-6009-3410","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 ","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 ","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 ","서울특별시강남구테헤란로305,한국기술센터1층"
SSG마켓도곡R  ,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)02-2191-1219","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 ","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 ","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 ","서울특별시강남구언주로30길57,타워팰리스ⅡF지하1층"
삼성  ,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)02-758-8038","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 ","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 ","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 ","서울특별시강남구테헤란로443,애플트리타워1층"
선릉세화빌딩  ,"서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)02-758-8028","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 ","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 ","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 ","서울특별시강남구테헤란로64길18,세화빌딩1층"
압구정역  ,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)02-758-8013","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 ","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 ","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 ","서울특별시강남구압구정로170,관영빌딩1층지하1층"
압구정로  ,서울특별시 강남구 압구정로42길 32 (신사동)02-758-8231,서울특별시 강남구 압구정로42길 32 ,서울특별시 강남구 압구정로42길 32 ,서울특별시 강남구 압구정로42길 32 ,서울특별시강남구압구정로42길32
구역삼사거리  ,서울특별시 강남구 논현로 401 (역삼동)02-758-8247,서울특별시 강남구 논현로 401 ,서울특별시 강남구 논현로 401 ,서울특별시 강남구 논현로 401 ,서울특별시강남구논현로401
큰길타워  ,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)02-758-8116","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 ","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 ","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 ","서울특별시강남구테헤란로223,큰길타워빌딩"
강남구청역  ,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)02-758-8119","서울특별시 강남구 선릉로 669, 웰빙센터 1층 ","서울특별시 강남구 선릉로 669, 웰빙센터 1층 ","서울특별시 강남구 선릉로 669, 웰빙센터 1층 ","서울특별시강남구선릉로669,웰빙센터1층"
대치역  ,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)02-758-8120","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 ","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 ","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 ","서울특별시강남구남부순환로2936,원플러스상가107호"
포이  ,서울특별시 강남구 논현로 88 (개포동)02-758-8122,서울특별시 강남구 논현로 88 ,서울특별시 강남구 논현로 88 ,서울특별시 강남구 논현로 88 ,서울특별시강남구논현로88
아크플레이스  ,서울특별시 강남구 테헤란로 142 (역삼동)02-758-8158,서울특별시 강남구 테헤란로 142 ,서울특별시 강남구 테헤란로 142 ,서울특별시 강남구 테헤란로 142 ,서울특별시강남구테헤란로142
학여울역  ,서울특별시 강남구 영동대로 215 (대치동)02-758-8151,서울특별시 강남구 영동대로 215 ,서울특별시 강남구 영동대로 215 ,서울특별시 강남구 영동대로 215 ,서울특별시강남구영동대로215
선정릉역  ,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩02-758-8970,서울특별시 강남구 봉은사로 407 ,서울특별시 강남구 봉은사로 407 ,서울특별시 강남구 봉은사로 407 ,서울특별시강남구봉은사로407
삼성현대힐  ,서울특별시 강남구 삼성로 605 (삼성동)02-758-8278,서울특별시 강남구 삼성로 605 ,서울특별시 강남구 삼성로 605 ,서울특별시 강남구 삼성로 605 ,서울특별시강남구삼성로605
GS타워  ,서울특별시 강남구 논현로 508 (역삼동)02-758-8129,서울특별시 강남구 논현로 508 ,서울특별시 강남구 논현로 508 ,서울특별시 강남구 논현로 508 ,서울특별시강남구논현로508
압구정미소  ,서울특별시 강남구 논현로 841 (신사동)02-758-8109,서울특별시 강남구 논현로 841 ,서울특별시 강남구 논현로 841 ,서울특별시 강남구 논현로 841 ,서울특별시강남구논현로841
선릉역  ,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)02-758-8108","서울특별시 강남구 테헤란로 334, LG화재 빌딩 ","서울특별시 강남구 테헤란로 334, LG화재 빌딩 ","서울특별시 강남구 테헤란로 334, LG화재 빌딩 ","서울특별시강남구테헤란로334,LG화재빌딩"
수서  ,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층02-758-8165,서울특별시 강남구 밤고개로1길 10 ,서울특별시 강남구 밤고개로1길 10 ,서울특별시 강남구 밤고개로1길 10 ,서울특별시강남구밤고개로1길10
코엑스사거리  ,서울특별시 강남구 영동대로 616 (삼성동)02-758-8478,서울특별시 강남구 영동대로 616 ,서울특별시 강남구 영동대로 616 ,서울특별시 강남구 영동대로 616 ,서울특별시강남구영동대로616
역삼럭키  ,서울특별시 강남구 도곡로 183 (역삼동)02-758-8463,서울특별시 강남구 도곡로 183 ,서울특별시 강남구 도곡로 183 ,서울특별시 강남구 도곡로 183 ,서울특별시강남구도곡로183
차병원사거리  ,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)02-758-8444","서울특별시 강남구 봉은사로 213, 센트럴타워 ","서울특별시 강남구 봉은사로 213, 센트럴타워 ","서울특별시 강남구 봉은사로 213, 센트럴타워 ","서울특별시강남구봉은사로213,센트럴타워"
청담공원  ,서울특별시 강남구 학동로 506 (삼성동)02-758-8394,서울특별시 강남구 학동로 506 ,서울특별시 강남구 학동로 506 ,서울특별시 강남구 학동로 506 ,서울특별시강남구학동로506
신압구정  ,서울특별시 강남구 언주로174길 29 (신사동)02-758-8398,서울특별시 강남구 언주로174길 29 ,서울특별시 강남구 언주로174길 29 ,서울특별시 강남구 언주로174길 29 ,서울특별시강남구언주로174길29
아크로힐스논현  ,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)02-758-8317","서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 ","서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 ","서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 ","서울특별시강남구봉은사로304,금강빌딩1-2층"
뱅뱅사거리  ,서울특별시 강남구 강남대로 282 (도곡동)02-758-8325,서울특별시 강남구 강남대로 282 ,서울특별시 강남구 강남대로 282 ,서울특별시 강남구 강남대로 282 ,서울특별시강남구강남대로282
강남비젼타워  ,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)02-758-8492","서울특별시 강남구 테헤란로2길 27, 1층 101호 ","서울특별시 강남구 테헤란로2길 27, 1층 101호 ","서울특별시 강남구 테헤란로2길 27, 1층 101호 ","서울특별시강남구테헤란로2길27,1층101호"
역삼역  ,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)02-758-8314","서울특별시 강남구 테헤란로 145, 우신빌딩 1층 ","서울특별시 강남구 테헤란로 145, 우신빌딩 1층 ","서울특별시 강남구 테헤란로 145, 우신빌딩 1층 ","서울특별시강남구테헤란로145,우신빌딩1층"
압구정로데오역  ,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)02-758-8345","서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 ","서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 ","서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 ","서울특별시강남구선릉로836,삼원빌딩1,2층"
르네상스사거리  ,서울특별시 강남구 테헤란로 306 (역삼동)02-758-8321,서울특별시 강남구 테헤란로 306 ,서울특별시 강남구 테헤란로 306 ,서울특별시 강남구 테헤란로 306 ,서울특별시강남구테헤란로306
포스코  ,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)02-758-8331","서울특별시 강남구 삼성로86길 7, 1층 ","서울특별시 강남구 삼성로86길 7, 1층 ","서울특별시 강남구 삼성로86길 7, 1층 ","서울특별시강남구삼성로86길7,1층"
선릉로  ,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)02-758-8552","서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 ","서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 ","서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 ","서울특별시강남구선릉로93길22,대흥빌딩1층"
삼성역  ,서울특별시 강남구 테헤란로103길 9 (삼성동)02-758-8585,서울특별시 강남구 테헤란로103길 9 ,서울특별시 강남구 테헤란로103길 9 ,서울특별시 강남구 테헤란로103길 9 ,서울특별시강남구테헤란로103길9
논현힐탑  ,서울특별시 강남구 논현로 648 (논현동)02-758-8426,서울특별시 강남구 논현로 648 ,서울특별시 강남구 논현로 648 ,서울특별시 강남구 논현로 648 ,서울특별시강남구논현로648
도산가로수길  ,"서울특별시 강남구 도산대로 134, 2층 (논현동)02-758-8429","서울특별시 강남구 도산대로 134, 2층 ","서울특별시 강남구 도산대로 134, 2층 ","서울특별시 강남구 도산대로 134, 2층 ","서울특별시강남구도산대로134,2층"
미아뉴타운  ,서울특별시 강북구 삼양로 161 (미아동)02-980-3341,서울특별시 강북구 삼양로 161 ,서울특별시 강북구 삼양로 161 ,서울특별시 강북구 삼양로 161 ,서울특별시강북구삼양로161
강북구청사거리  ,서울특별시 강북구 도봉로 365 (수유동)02-758-8944,서울특별시 강북구 도봉로 365 ,서울특별시 강북구 도봉로 365 ,서울특별시 강북구 도봉로 365 ,서울특별시강북구도봉로365
미아사거리역  ,서울특별시 강북구 도봉로 32 (미아동)02-758-8859,서울특별시 강북구 도봉로 32 ,서울특별시 강북구 도봉로 32 ,서울특별시 강북구 도봉로 32 ,서울특별시강북구도봉로32
수유역  ,서울특별시 강북구 도봉로 342 (번동)02-758-8104,서울특별시 강북구 도봉로 342 ,서울특별시 강북구 도봉로 342 ,서울특별시 강북구 도봉로 342 ,서울특별시강북구도봉로342
미아역  ,서울특별시 강북구 도봉로 196 (미아동)02-758-8500,서울특별시 강북구 도봉로 196 ,서울특별시 강북구 도봉로 196 ,서울특별시 강북구 도봉로 196 ,서울특별시강북구도봉로196
발산역사거리  ,서울특별시 강서구 공항대로 248 (마곡동)02-2661-3792,서울특별시 강서구 공항대로 248 ,서울특별시 강서구 공항대로 248 ,서울특별시 강서구 공항대로 248 ,서울특별시강서구공항대로248
우장산역  ,서울특별시 강서구 강서로 267 (내발산동)02-2664-2624,서울특별시 강서구 강서로 267 ,서울특별시 강서구 강서로 267 ,서울특별시 강서구 강서로 267 ,서울특별시강서구강서로267
마곡사이언스타워R  ,서울특별시 강서구 마곡동로 62 (마곡동)02-2659-3585,서울특별시 강서구 마곡동로 62 ,서울특별시 강서구 마곡동로 62 ,서울특별시 강서구 마곡동로 62 ,서울특별시강서구마곡동로62
방화DT  ,서울특별시 강서구 방화대로 375 (방화동)02-2664-3480,서울특별시 강서구 방화대로 375 ,서울특별시 강서구 방화대로 375 ,서울특별시 강서구 방화대로 375 ,서울특별시강서구방화대로375
